Submission,Date,Author,Status,Link
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Pinjaikul Tanawat,2026-09-12,Tanawat Pinjaikul,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/pinjaikul-tanawat-12-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Clowes Thomas,2026-09-09,Thomas Clowes,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/clowes-thomas-09-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Bird Matthew,2026-09-09,Matthew Bird,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/bird-matthew-08-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Barrett Eric,2026-09-06,Eric Barrett,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/barrett-eric-06-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Aristizábal Juan David,2026-09-05,Juan David Aristizábal,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/aristizabal-juan-david-04-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission Retracted - Krypto@Recht on X,2026-09-01,Henning Jessen,retracted,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/kryptorecht-on-x-01-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Sayed Omar,2026-09-01,Omar Sayed,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/sayed-omar-01-09-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - APlusDomains.Crypto,2026-09-01,Jonathon Browne,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/aplusdomainscrypto-31-08-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Orchel Grzegorz,2026-08-31,Grzegorz Orchel,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/orchel-grzegorz-30-08-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Calderon-Serrano Alfredo,2026-08-25,Alfredo Calderon-Serrano,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/calderon-serrano-alfredo-25-08-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Nguyen Hong Ha,2026-08-19,Ha Nguyen Hong,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/nguyen-hong-ha-19-08-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - duy nguyen,2026-08-16,nguyen duy,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/duy-nguyen-16-08-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Nguyen Quynh,2026-08-15,Quynh Nguyen,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/nguyen-quynh-15-08-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Darwin Matthias,2026-08-15,Matthias Darwin,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/darwin-matthias-14-08-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Nguyen Nhat Huy,2026-08-12,Nhat Huy Nguyen,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/nguyen-nhat-huy-12-08-2026
Initial Report of the TSG on gTLD Integrations with Alternative Naming Systems Submission - Ndubi Laura,2026-08-12,Laura Ndubi,active,https://www.icann.org/en/public-comment/proceeding/initial-report-of-the-tsg-on-gtld-integrations-with-alternative-naming-systems-10-08-2026/submissions/ndubi-laura-11-08-2026
